codigo_municipio,codigo_orgao,codigo_unidade,codigo_funcao,codigo_subfuncao,codigo_programa,codigo_elemento_despesa,modalidade_empenho,valor_empenhado,tipo_processo_licitatorio,estado_empenho,codigo_tipo_negociante,situacao_favorecido
2,6,1,13,122,30,0,0,59550.0,0,0,6,0
2,6,1,13,122,30,1,1,1550.0,0,1,2,0
2,6,1,13,122,30,2,2,1035.0,1,1,1,1
2,6,1,13,122,30,0,0,54195.0,0,0,6,0
2,6,1,13,122,30,3,0,5000.0,0,1,1,1
2,6,1,13,122,30,0,0,30000.0,0,0,6,0
2,6,1,13,122,30,3,0,8000.0,0,1,1,1
2,6,1,13,122,30,0,0,35000.0,0,0,6,0
3,8,1,13,122,61,4,1,1128.1,0,1,1,1
3,8,1,13,122,61,0,1,7003.15,0,1,6,0
3,8,1,13,122,61,0,1,2500.0,0,1,6,0
3,8,1,13,122,61,2,0,1500.0,0,0,1,1
3,8,1,4,122,7,1,1,550.0,0,1,2,0
3,8,1,4,122,7,2,1,248.0,1,1,1,1
3,8,1,13,392,243,5,1,900.0,0,1,1,1
3,8,1,27,812,521,2,1,1750.0,0,1,1,2
3,8,1,27,812,522,6,1,814.0,0,1,2,0
3,8,1,13,392,243,2,1,12000.0,2,1,1,1
3,8,1,13,392,243,2,1,80000.0,2,1,1,1
3,8,1,4,122,7,7,1,2500.0,0,1,6,0
3,8,1,4,122,7,0,1,5003.82,0,1,6,0
3,8,1,4,122,7,0,1,620.1,0,1,6,0
3,8,1,4,122,7,3,0,8000.0,0,2,1,1
3,8,1,4,122,7,2,0,5000.0,0,1,1,1
3,8,1,4,122,7,2,0,3000.0,0,0,1,1
3,8,1,4,122,7,8,0,5000.0,0,1,1,1
3,8,1,4,122,7,2,0,5000.0,0,2,1,1
3,8,1,4,122,7,2,0,3000.0,0,0,1,1
3,8,1,4,122,7,1,1,650.0,0,1,2,0
3,8,1,4,122,7,1,1,1400.0,0,1,2,0
3,8,1,27,812,522,6,1,226.5,0,1,1,1
3,8,1,27,812,521,2,1,1080.0,0,1,1,2
3,8,1,4,122,7,4,1,10271.0,1,1,1,1
3,8,1,4,122,7,2,0,2000.0,0,2,1,1
3,8,1,4,122,7,2,0,2000.0,0,1,1,1
3,8,1,4,122,7,7,1,4200.0,0,1,6,0
3,8,1,4,122,7,2,0,1000.0,0,2,1,1
3,8,1,4,122,7,8,0,7000.0,0,1,1,1
3,8,1,4,122,7,0,1,648.7,0,1,6,0
3,8,1,4,122,7,0,1,10557.36,0,1,6,0
3,8,1,27,812,521,5,1,3860.0,0,1,1,1
3,8,1,27,812,521,1,1,640.0,0,1,2,0
3,8,1,4,122,7,1,1,700.0,0,1,2,0
3,8,1,4,122,7,1,1,1400.0,0,1,2,0
3,8,1,4,122,7,7,1,5879.25,0,1,6,0
3,8,1,4,122,7,8,0,50000.0,0,0,1,1
3,8,1,4,122,7,0,1,675.35,0,1,6,0
3,8,1,4,122,7,0,1,12312.01,0,1,6,0
4,9,1,13,122,30,9,1,240.0,0,1,7,0
4,9,1,13,122,30,9,1,400.0,0,1,7,0
4,9,1,13,122,30,1,1,1200.0,0,1,2,0
4,9,1,13,122,30,2,1,217.02,0,1,1,1
4,9,1,13,122,30,1,1,1800.0,0,1,2,0
4,9,1,13,122,30,1,2,19200.0,3,1,2,0
4,9,1,13,122,30,0,0,400000.0,0,0,6,0
4,9,1,13,122,30,2,0,1000.0,0,0,1,1
4,9,1,13,392,30,10,0,105000.0,0,1,1,1
4,9,1,13,122,30,2,0,10000.0,0,1,1,1
4,9,1,13,122,30,2,0,10000.0,0,0,1,1
4,9,1,13,122,30,1,1,720.0,0,1,2,0
4,9,1,13,122,30,1,1,4000.0,0,1,2,0
4,9,1,13,122,30,2,1,1145.0,0,1,1,2
4,9,1,13,122,30,9,1,100.0,0,1,7,0
4,9,1,13,122,30,9,1,200.0,0,1,7,0
4,9,1,13,122,30,2,1,660.0,0,1,1,1
4,9,1,13,122,30,9,1,100.0,0,1,7,0
4,9,1,13,122,30,9,1,200.0,0,1,7,0
4,9,1,13,122,30,1,2,21600.0,3,1,2,0
4,9,1,13,122,30,0,0,400000.0,0,0,6,0
4,9,1,13,122,30,2,0,2000.0,0,1,1,1
4,9,1,13,122,30,2,1,2000.0,0,1,1,1
4,9,1,13,392,30,10,0,240000.0,0,1,1,1
4,9,1,13,122,30,2,0,20000.0,0,0,1,1
4,8,1,13,122,30,11,1,520.0,0,1,1,1
4,8,1,13,122,30,1,1,170.0,0,1,2,0
4,8,1,13,122,30,11,1,1289.9,0,1,1,1
4,8,1,13,392,30,1,2,21600.0,3,1,2,0
4,8,1,13,122,30,2,0,10000.0,0,0,1,1
4,8,1,13,122,30,0,0,500000.0,0,0,6,0
4,8,1,13,392,30,12,0,120000.0,0,1,1,1
4,8,1,13,122,30,2,0,2000.0,0,1,1,1
4,8,1,13,392,30,1,1,3350.0,0,1,2,0
4,8,1,13,392,30,2,2,171700.0,4,1,1,1
4,8,1,13,392,30,1,2,45600.0,3,1,2,0
4,8,1,13,122,30,0,0,579000.0,0,0,6,0
4,8,1,13,122,30,7,0,165000.0,0,1,6,0
4,8,1,13,392,30,12,0,120000.0,0,1,1,1
4,8,1,13,122,30,2,0,5000.0,0,2,1,1
4,8,1,13,122,30,2,0,7000.0,0,0,1,1
4,8,1,13,122,30,2,0,4000.0,0,0,1,1
5,11,2,13,122,2,9,1,937.0,0,1,7,0
5,11,2,13,122,2,4,1,165.09,0,1,1,3
5,11,2,13,122,2,4,1,1967.68,0,1,1,1
5,11,2,13,392,307,1,1,2200.0,0,1,2,0
